name,total,exact1,transposed1,tonalTransped1,inverted1,augmented1,retrograded1,rotated1,trInverted1,trAugmented1,trRetrograded1,exact08,transposed08,tonalTransped08,inverted08,augmented08,retrograded08,rotated08,trInverted08,trAugmented08,trRetrograded08,exact06,transposed06,tonalTransped06,inverted06,augmented06,retrograded06,rotated06,trInverted06,trAugmented06,trRetrograded06,exact04,transposed04,tonalTransped04,inverted04,augmented04,retrograded04,rotated04,trInverted04,trAugmented04,trRetrograded04,exact02,transposed02,tonalTransped02,inverted02,augmented02,retrograded02,rotated02,trInverted02,trAugmented02,trRetrograded02,unclassified
"006_grande amore.csv.txt.txt-tlf-pattern5",13,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,2
"006_grande amore.csv.txt.txt-tlf-pattern6",13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13
"006_grande amore.csv.txt.txt-tlf-pattern7",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"006_grande amore.csv.txt.txt-tlf-pattern8",7,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3,0,0,0,0,2,0,0,0,0,0
"006_grande amore.csv.txt.txt-tlf-pattern9",5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"007_rhythm inside.csv.txt.txt-tlf-pattern1",5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"007_rhythm inside.csv.txt.txt-tlf-pattern2",9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,0,0,0,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"007_rhythm inside.csv.txt.txt-tlf-pattern3",8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
"007_rhythm inside.csv.txt.txt-tlf-pattern4",6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"007_rhythm inside.csv.txt.txt-tlf-pattern5",6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0
